Current Board,Optimal Move
011000202,211000202
011000212,211000212
011000220,211000220
011000221,211000221
011000222,011100222
011001022,011001222
011001202,011001222
011001220,011001222
011001222,211001222
011002000,211002000
011002002,211002002
011002012,211002012
011002020,211002020
011002021,211002021
011002022,011102022
011002102,211002102
011002120,211002120
011002122,211002122
011002200,211002200
011002201,211002201
011002202,011102202
011002210,211002210
011002212,211002212
011002220,011102220
011002221,211002221
011010022,011010222
011010202,011010222
011010220,011010222
011010222,211010222
011011222,211011222
011012002,211012002
011012020,211012020
011012022,211012022
011012122,211012122
011012200,211012200
011012202,211012202
011012212,211012212
011012220,211012220
011012221,211012221
011012222,011112222
011020000,211020000
011020002,011220002
011020012,211020012
011020020,211020020
011020021,211020021
011020022,011120022
011020102,211020102
011020120,211020120
011020122,011220122
011020200,211020200
011020201,211020201
011020202,011120202
011020210,211020210
011020212,011220212
011020220,011120220
011020221,211020221
011021002,211021002
011021020,211021020
011021022,011221022
011021122,211021122
011021200,211021200
011021202,011221202
011021212,211021212
011021220,211021220
011021221,211021221
011021222,011121222
011022000,211022000
011022001,011222001
011022002,011122002
011022010,011222010
011022012,011022212
011022020,011122020
011022021,211022021
011022100,011222100
011022102,011022122
011022112,211022112
011022120,211022120
011022121,011222121
011022122,011122122
011022200,011122200
011022201,211022201
011022210,211022210
011022211,011222211
011022212,011122212
011022221,011122221
011100022,011100222
011100202,011100222
011100220,011100222
011100222,211100222
011101222,211101222
011102002,211102002
011102020,211102020
011102022,211102022
011102122,211102122
011102200,211102200
011102202,211102202
011102212,211102212
011102220,211102220
011102221,211102221
011102222,011112222
011110222,211110222
011112022,011112222
011112202,011112222
011112220,011112222
011112222,211112222
011120002,211120002
011120020,211120020
011120022,011122022
011120122,211120122
011120200,211120200
011120202,011122202
011120212,211120212
011120220,211120220
011120221,211120221
011120222,011121222
011121022,211121022
011121202,211121202
011121220,011121222
011121222,211121222
011122000,211122000
011122002,011122202
011122012,211122012
011122020,211122020
011122021,211122021
011122022,011122122
011122102,211122102
011122120,211122120
011122122,211122122
011122200,211122200
011122201,211122201
011122202,011122212
011122210,211122210
011122212,211122212
011122220,011122221
011122221,211122221
011200000,211200000
011200002,211200002
011200012,211200012
011200020,211200020
011200021,211200021
011200022,011210022
011200102,211200102
011200120,211200120
011200122,211200122
011200200,011220200
011200201,211200201
011200202,011210202
011200210,211200210
011200212,011220212
011200220,011210220
011200221,011220221
011201002,211201002
011201020,211201020
011201022,211201022
011201122,211201122
011201200,211201200
011201202,011221202
011201212,211201212
011201220,011221220
011201221,211201221
011201222,011211222
011202000,211202000
011202001,011222001
011202002,011212002
011202010,011222010
011202012,211202012
011202020,011212020
011202021,211202021
011202100,011222100
011202102,211202102
011202112,011222112
011202120,211202120
011202121,011222121
011202122,111202122
011202200,011212200
011202201,011202221
011202210,011202212
011202211,211202211
011202212,111202212
011202221,011212221
011210002,211210002
011210020,211210020
011210022,211210022
011210122,211210122
011210200,211210200
011210202,011212202
011210212,211210212
011210220,011212220
011210221,211210221
011210222,011211222
011211022,011211222
011211202,211211202
011211220,211211220
011211222,211211222
011212000,211212000
011212002,211212002
011212012,211212012
011212020,211212020
011212021,211212021
011212022,111212022
011212102,211212102
011212120,211212120
011212122,211212122
011212200,011212220
011212201,211212201
011212202,111212202
011212210,211212210
011212212,211212212
011212220,011212221
011212221,211212221
011220000,211220000
011220001,011222001
011220002,011221002
011220010,011222010
011220012,011220212
011220020,011221020
011220021,211220021
011220100,011222100
011220102,011220122
011220112,211220112
011220120,211220120
011220121,011222121
011220122,011221122
011220200,011221200
011220201,011220221
011220210,011220212
011220211,211220211
011220212,011221212
011220221,111220221
011221000,211221000
011221002,011221202
011221012,211221012
011221020,211221020
011221021,211221021
011221022,011221122
011221102,211221102
011221120,211221120
011221122,211221122
011221200,011221220
011221201,211221201
011221202,011221212
011221210,211221210
011221212,211221212
011221220,111221220
011221221,211221221
011222000,011222100
011222001,211222001
011222010,211222010
011222011,211222011
011222012,011222112
011222021,011222121
011222100,211222100
011222101,211222101
011222102,011222112
011222110,211222110
011222112,211222112
011222120,011222121
011222121,211222121
011222201,011222211
011222210,011222211
011222211,211222211
012000000,212000000
012000001,012020001
012000002,112000002
012000010,012020010
012000012,212000012
012000020,112000020
012000021,212000021
012000100,012020100
012000102,212000102
012000112,012002112
012000120,212000120
012000121,212000121
